,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,18017404,GDO_q35,COUNTRY,DZA,YEAR,2015,,,,,,,,,4.5,4.53159,0.04532,,,2018-02-27T14:38:14.827+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1,18017405,GDO_q35,COUNTRY,AGO,YEAR,2015,,,,,,,,,3.6,3.64503,0.03645,,,2018-02-27T14:38:14.86+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2,18017406,GDO_q35,COUNTRY,BEN,YEAR,2015,,,,,,,,,3.9,3.85398,0.03854,,,2018-02-27T14:38:14.91+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3,18017407,GDO_q35,COUNTRY,BWA,YEAR,2015,,,,,,,,,4.7,4.66097,0.04661,,,2018-02-27T14:38:14.94+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4,18017408,GDO_q35,COUNTRY,BFA,YEAR,2015,,,,,,,,,3.6,3.60906,0.03609,,,2018-02-27T14:38:14.963+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5,18017409,GDO_q35,COUNTRY,BDI,YEAR,2015,,,,,,,,,4.2,4.21757,0.04218,,,2018-02-27T14:38:14.99+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6,18017410,GDO_q35,COUNTRY,CMR,YEAR,2015,,,,,,,,,3.9,3.88461,0.03885,,,2018-02-27T14:38:15.017+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7,18017411,GDO_q35,COUNTRY,CPV,YEAR,2015,,,,,,,,,4.9,4.92824,0.04928,,,2018-02-27T14:38:15.043+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
8,18017412,GDO_q35,COUNTRY,CAF,YEAR,2015,,,,,,,,,4.2,4.18762,0.04188,,,2018-02-27T14:38:15.08+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9,18017413,GDO_q35,COUNTRY,TCD,YEAR,2015,,,,,,,,,3.5,3.5025,0.03502,,,2018-02-27T14:38:15.107+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
10,18017414,GDO_q35,COUNTRY,COM,YEAR,2015,,,,,,,,,4.4,4.3628,0.04363,,,2018-02-27T14:38:15.13+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
11,18017415,GDO_q35,COUNTRY,COG,YEAR,2015,,,,,,,,,3.9,3.94981,0.0395,,,2018-02-27T14:38:15.16+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
12,18017416,GDO_q35,COUNTRY,CIV,YEAR,2015,,,,,,,,,3.8,3.79018,0.0379,,,2018-02-27T14:38:15.183+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
13,18017417,GDO_q35,COUNTRY,COD,YEAR,2015,,,,,,,,,3.8,3.76623,0.03766,,,2018-02-27T14:38:15.21+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
